name,lat,lng,icon,color,url,comment
カフェ・ミエル,33.59019825819788, 130.41880477791548,喫茶店,red,https://maps.app.goo.gl/1cNFnqjdJGw6XGna7,""
カフェ オトミレ,33.586580839965855, 130.42424667112192,喫茶店,blue,https://maps.app.goo.gl/gQozjTyPr8Kd1mP5A,""
CAFE EMPATHY,33.58985734729048, 130.42284791919295,喫茶店,blue,https://maps.app.goo.gl/DgGkXyAUdpWqohG16,"予約できる。利用料が高い"
ホテル日航福岡 「ティー＆カクテルラウンジ」,33.591618102221176, 130.4176053472301,喫茶店,blue,https://maps.app.goo.gl/pFPM7m9tUFqHa8vD9,"予約できる。利用料が高い"
橡珈琲館,33.58861767858727, 130.42280025147448,喫茶店,blue,https://maps.app.goo.gl/tA2vokJ2Dz8VQNJdA,"喫煙できる穴場らしいが、人は連れて行かない方がいいかもしれない"
駅から三百歩横丁,33.58817303726282, 130.41893863542822,飲食店,red,https://maps.app.goo.gl/1JWreYwXhFoG2vnMA,""
３３ ＣＡＦÉ ＧＲＥＥＮ,33.588265031296764, 130.427560001305,喫茶店,blue,https://maps.app.goo.gl/M3i5J2BHJrPCsNGz5,""
那珂川リバークルーズ,33.592109547709825, 130.40451958263816,体験,blue,https://maps.app.goo.gl/uV1Ha7KqptoME6yJ9,""
楽水園,33.58724312067555, 130.41338266746757,庭園,blue,https://maps.app.goo.gl/uccisxA1i5A398Lj8,""
柳橋連合市場,33.58317600996723, 130.40885645092962,軽食,blue,https://maps.app.goo.gl/zHpZPTCjTuYpyLzx6,""
マリンワールド海の中道,33.6610027137591, 130.36374557811016,水族館,blue,https://maps.app.goo.gl/JQsUPBcPXU93Hi8d7,""
福岡タワー,33.59550098463914, 130.35511486263815,景色,blue,https://maps.app.goo.gl/KfGUaPNygLZzS3az5,""
中洲屋台橫丁,33.590652039272626, 130.40885591442287,軽食,blue,https://maps.app.goo.gl/riBgrn2ooZxEeM7C9,""
国営海の中道海浜公園,33.66443920611841, 130.36172874353232,景色,blue,https://maps.app.goo.gl/xNCTSF6uakvhWbJ29,""